permno,date,ret,retx,prc,vol,shrout,mktcap,conm,tic,gvkey,datadate,atq,ltq,ceqq,saleq,niq,mkvaltq,prccq,cshtrq,ps,pb,pe,ev,ev_sales,ps_z,pb_z,ev_sales_z,pe_z,bubble_index,bubble_type
87299,2015-01-09,-0.012831,-0.012831,60.78,1171259.0,178301.0,10837134.78,AKAMAI TECHNOLOGIES INC,AKAM,125595,2014-12-31,4001.546,1056.211,2945.335,536.295,97.107,11225.831,62.96,103011018.0,20207.41341985288,3679.42348832985,111599.93388736136,10835245.655999998,20203.890873493132,0.6416208395371984,0.10500172880933739,0.6410607278673157,-0.45317092977413237,0.23362809160992976,dotcom
77178,2015-01-09,-0.001141,-0.001141,74.42,9038892.0,1654000.0,123090680.0,QUALCOMM INC,QCOM,024800,2014-12-31,48447.0,9628.0,38823.0,7099.0,1972.0,122941.82,74.33,675937215.0,17339.157627834906,3170.5607500708343,62419.20892494929,123061485.0,17335.045076771377,0.19753062711350178,-0.66264938050611,0.19581854377840616,-0.3029757568110188,-0.1430689916063052,dotcom
84788,2015-01-09,-0.011749,-0.011749,296.92999,2592360.0,464384.0,137889536.47616,AMAZON.COM INC,AMZN,064768,2014-12-31,54505.0,43764.0,10741.0,29329.0,214.0,144312.75,310.35,265879564.0,4701.474188556036,12837.681452021227,644343.628393271,137922559.47616,4702.600138980531,-2.5076497450853217,-0.5931757310679027,-2.5076293643642145,0.08236993488261588,-1.3815212264087058,dotcom
87227,2015-01-09,-0.023346,-0.023346,5.02,6482.0,26674.0,133903.47999999998,EGAIN CORP,EGAN,124036,2014-12-31,50.001,45.104,4.897,18.903,-5.461,138.1713,5.18,4260102.0,7083.715812304925,27343.982029814168,-24519.956052005124,133943.68699999998,7085.842829180552,-0.7336193112046574,0.797655789786488,-0.7335975425961083,0.19346505396747563,-0.11902400251170053,dotcom
87264,2015-01-09,-0.02252,-0.02252,42.97,74704.0,21279.0,914358.63,INTERACTIVE INTELLIGENCE GRP,ININ,124038,2014-12-31,338.723,167.993,170.73,92.556,-29.863,1019.2641,47.9,9028641.0,9878.97737585894,5355.5826743981725,-30618.44523323176,914355.893,9878.947804572368,0.3567895569380587,0.12674574718233692,0.35637536672318226,1.3228752070735834,0.5406964694792903,dotcom
76076,2015-01-09,0.010178,0.010178,27.79,33619558.0,5113588.0,142106610.51999998,CISCO SYSTEMS INC,CSCO,020779,2014-10-31,103978.0,47263.0,56708.0,12245.0,1828.0,125017.23,24.47,1728573620.0,11605.276481829316,2505.935855963885,77738.84601750546,142097165.51999998,11604.505146590443,-1.4194550521120355,-1.307876487732309,-1.4197425892815232,0.5243307751896924,-0.9056858384840438,dotcom
78050,2015-01-09,0.018072,0.018072,1.69,35994.0,14992.0,25336.48,BOOKS-A-MILLION INC,BAMM,025896,2014-10-31,326.959,232.584,91.841,101.156,-6.892,21.2886,1.42,902221.0,250.46937403614217,275.87330277327123,-3676.215902495647,25477.222999999998,251.8607200759223,-1.3691861860612144,-2.055242588043719,-1.3617279681938388,0.33885319538626674,-1.1118258867281263,dotcom
87510,2015-01-09,-0.005055,-0.005055,11.81,8323.0,17014.0,200935.34,PFSWEB INC,PFSW,126718,2014-12-31,140.746,100.641,40.105,78.681,2.104,215.3972,12.66,3609139.0,2553.7974860512704,5010.231641939908,95501.58745247147,200995.876,2554.5668712904003,0.2394953288673156,1.1660786311539626,0.23962880876263248,0.827291484447918,0.6181235633079571,dotcom
10107,2015-01-09,-0.008405,-0.008405,47.19,23944181.0,8218000.0,387807420.0,MICROSOFT CORP,MSFT,012141,2014-12-31,174848.0,82969.0,91879.0,26470.0,5863.0,381726.1,46.45,1996640310.0,14650.828107291272,4220.849377986265,66144.87804878049,387798510.0,14650.491499811107,-1.637621887149156,-1.8195216258589002,-1.637868411954732,-0.6045573453628221,-1.4248923175814026,dotcom
59328,2015-01-12,-0.004353,-0.004353,36.6,29370199.0,4748000.0,173776800.0,INTEL CORP,INTC,006008,2014-12-31,91956.0,35179.0,55865.0,14721.0,3661.0,172304.92,36.29,2052490600.0,11804.68718157734,3110.656045824756,47467.03086588364,173756114.0,11803.281978126486,0.3041716173916626,0.939445509710546,0.30399692192652966,0.15168019491248305,0.4248235609853053,dotcom
